;RaumeinheitSort;Raumeinheit;GliederungSort;Gliederung;Zimmer;GemeinnuetzigSort;GemeinnuetzigLang;EinheitSort;EinheitLang;mean;Grundgesamtheit;Sample1;Sample2
1084;3;Quartiergruppen;39;Alt-Wiedikon und Friesenberg;2;0;Alle Wohnungen;1;Wohnung;1453.0;3375;1093;97
1085;3;Quartiergruppen;44;Hard;2;0;Alle Wohnungen;1;Wohnung;1326.0;1742;754;89
1086;3;Quartiergruppen;49;Werd und Langstrasse;2;0;Alle Wohnungen;1;Wohnung;1811.0;2333;613;128
1087;3;Quartiergruppen;50;Kreis 5;2;0;Alle Wohnungen;1;Wohnung;1748.0;1695;626;96
1088;3;Quartiergruppen;61;Unterstrass;2;0;Alle Wohnungen;1;Wohnung;1522.0;2327;569;53
1089;3;Quartiergruppen;63;Oberstrass;2;0;Alle Wohnungen;1;Wohnung;1824.0;927;109;54
1090;3;Quartiergruppen;78;Fluntern und Hottingen;2;0;Alle Wohnungen;1;Wohnung;1833.0;1555;291;96
1091;3;Quartiergruppen;79;Hirslanden und Witikon;2;0;Alle Wohnungen;1;Wohnung;1636.0;1398;293;98
1092;3;Quartiergruppen;80;Kreis 8;2;0;Alle Wohnungen;1;Wohnung;2031.0;2311;568;113
1093;3;Quartiergruppen;91;Albisrieden;2;0;Alle Wohnungen;1;Wohnung;1573.0;2542;836;63
1094;3;Quartiergruppen;92;Altstetten;2;0;Alle Wohnungen;1;Wohnung;1590.0;4430;983;64
1095;3;Quartiergruppen;101;Höngg;2;0;Alle Wohnungen;1;Wohnung;1518.0;1975;666;52
1096;3;Quartiergruppen;102;Wipkingen;2;0;Alle Wohnungen;1;Wohnung;1517.0;2038;565;70
1097;3;Quartiergruppen;111;Affoltern;2;0;Alle Wohnungen;1;Wohnung;1348.0;2023;752;67
1098;3;Quartiergruppen;115;Oerlikon;2;0;Alle Wohnungen;1;Wohnung;1667.0;2842;696;75
1099;3;Quartiergruppen;119;Seebach;2;0;Alle Wohnungen;1;Wohnung;1445.0;2337;746;61
1100;3;Quartiergruppen;123;Hirzenbach;2;0;Alle Wohnungen;1;Wohnung;1282.0;1214;666;37
1101;3;Quartiergruppen;129;Saatlen und Schwamendingen-Mitte;2;0;Alle Wohnungen;1;Wohnung;1250.0;1854;721;82
1102;3;Quartiergruppen;0;Ganze Stadt;3;0;Alle Wohnungen;1;Wohnung;1789.0;74180;23356;1908
1103;3;Quartiergruppen;10;Kreis 1;3;0;Alle Wohnungen;1;Wohnung;2533.0;836;272;111
1104;3;Quartiergruppen;20;Kreis 2;3;0;Alle Wohnungen;1;Wohnung;1992.0;5569;1695;165
1105;3;Quartiergruppen;34;Sihlfeld;3;0;Alle Wohnungen;1;Wohnung;1660.0;5506;1204;76
1106;3;Quartiergruppen;39;Alt-Wiedikon und Friesenberg;3;0;Alle Wohnungen;1;Wohnung;1739.0;4445;1564;102
1107;3;Quartiergruppen;44;Hard;3;0;Alle Wohnungen;1;Wohnung;1460.0;2897;1352;58
1108;3;Quartiergruppen;49;Werd und Langstrasse;3;0;Alle Wohnungen;1;Wohnung;2049.0;3242;794;114
1109;3;Quartiergruppen;50;Kreis 5;3;0;Alle Wohnungen;1;Wohnung;1924.0;2821;1047;87
1110;3;Quartiergruppen;61;Unterstrass;3;0;Alle Wohnungen;1;Wohnung;1705.0;4213;1336;68
1111;3;Quartiergruppen;63;Oberstrass;3;0;Alle Wohnungen;1;Wohnung;2203.0;1200;249;64
